layer,matrix_type,cond_a,seed_a,cond_b,seed_b,n_experts_common,n_excluded_a,n_excluded_b,mean_angle_deg_k16,mean_angle_deg_k32,mean_angle_deg_k64,max_angle_deg_k16,max_angle_deg_k32,max_angle_deg_k64,proj_dist_k16,proj_dist_k32,proj_dist_k64,whitening_reldist_k16,whitening_reldist_k32,whitening_reldist_k64,cov_reldist_k16,cov_reldist_k32,cov_reldist_k64
3,up_proj,korean_only,2,mixed_5lang,1,64,0,0,46.30751037597656,44.199256896972656,44.433624267578125,88.9761962890625,89.38969421386719,89.57958984375,2.82717227935791,3.9033634662628174,5.57097864151001,1.1177114248275757,1.1012599468231201,1.1277981996536255,0.9753958582878113,0.9658137559890747,0.9598459005355835
3,up_proj,korean_only,2,mixed_5lang,2,64,0,0,46.249046325683594,44.48124694824219,45.041015625,89.19168090820312,89.40724182128906,89.62432098388672,2.824051856994629,3.919849395751953,5.617980480194092,1.1180932521820068,1.105700969696045,1.1352405548095703,0.9719984531402588,0.962561845779419,0.9568986296653748
3,up_proj,swahili_only,0,swahili_only,1,64,0,0,19.53884506225586,23.527441024780273,30.443355560302734,72.46302795410156,81.19514465332031,88.38945770263672,1.5541996955871582,2.5089948177337646,4.33830451965332,0.6779806017875671,0.7653255462646484,0.9389843940734863,0.19933834671974182,0.20169499516487122,0.20696789026260376
3,up_proj,swahili_only,0,swahili_only,2,64,0,0,20.416589736938477,24.291799545288086,30.83346176147461,72.10783386230469,82.94308471679688,88.92144775390625,1.6022851467132568,2.5717034339904785,4.3752217292785645,0.6973538994789124,0.7805497646331787,0.9476016759872437,0.21259130537509918,0.21650740504264832,0.22094982862472534
3,up_proj,swahili_only,0,bengali_only,0,64,0,0,81.64444732666016,80.2452163696289,77.76688385009766,89.68773651123047,89.82858276367188,89.87377166748047,3.9131579399108887,5.513465881347656,7.717525005340576,1.4719223976135254,1.4691267013549805,1.4730772972106934,1.588657259941101,1.5873804092407227,1.5864025354385376
3,up_proj,swahili_only,0,bengali_only,1,64,0,0,81.62142944335938,80.2704086303711,77.74494171142578,89.70442962646484,89.79232025146484,89.90880584716797,3.9119033813476562,5.513171195983887,7.7161078453063965,1.4713717699050903,1.4680970907211304,1.4718027114868164,1.588655710220337,1.5873594284057617,1.5863720178604126
3,up_proj,swahili_only,0,bengali_only,2,64,0,0,81.54725646972656,80.20500183105469,77.73526000976562,89.67848205566406,89.80754089355469,89.87303161621094,3.9103951454162598,5.512151718139648,7.715660572052002,1.4721734523773193,1.470167875289917,1.472398281097412,1.5886198282241821,1.5873703956604004,1.5864098072052002
3,up_proj,swahili_only,0,mixed_5lang,0,64,0,0,75.30844116210938,73.46163177490234,70.4765396118164,89.63492584228516,89.72476959228516,89.8037109375,3.7494821548461914,5.262960910797119,7.315953731536865,1.4123191833496094,1.4047075510025024,1.393401026725769,1.4529285430908203,1.4480284452438354,1.444218635559082
3,up_proj,swahili_only,0,mixed_5lang,1,64,0,0,77.14523315429688,75.26410675048828,72.12174224853516,89.6102523803711,89.72499084472656,89.82634735107422,3.802002429962158,5.337840557098389,7.416051864624023,1.4257287979125977,1.4196046590805054,1.4075411558151245,1.4759125709533691,1.4710471630096436,1.4674170017242432
3,up_proj,swahili_only,0,mixed_5lang,2,64,0,0,75.94134521484375,74.14990234375,71.10812377929688,89.65132141113281,89.76649475097656,89.79803466796875,3.767273426055908,5.292600631713867,7.35626220703125,1.4174672365188599,1.411553144454956,1.3999073505401611,1.4567066431045532,1.451159954071045,1.4471802711486816
